code,industry_id,date,last_updated
000059,C010102,1997-01-30 00:00:00.000000,2017-12-15 08:40:47.919811
000096,C010102,2000-07-24 00:00:00.000000,2017-12-15 08:40:47.919811
000159,C010102,2000-09-26 00:00:00.000000,2017-12-15 08:40:47.919811
000552,C010103,1994-01-06 00:00:00.000000,2017-12-15 08:40:47.919811
000554,C010102,1993-12-15 00:00:00.000000,2017-12-15 08:40:47.919811
000571,C010103,1994-05-25 00:00:00.000000,2017-12-15 08:40:47.919811
000627,C010104,1996-11-12 00:00:00.000000,2017-12-15 08:40:47.919811
000637,C010102,1996-11-14 00:00:00.000000,2017-12-15 08:40:47.919811
000723,C010103,1997-05-15 00:00:00.000000,2017-12-15 08:40:47.919811
000780,C010103,1997-06-06 00:00:00.000000,2017-12-15 08:40:47.919811
000835,C010103,1999-06-25 00:00:00.000000,2017-12-15 08:40:47.919811
000852,C010101,1998-11-26 00:00:00.000000,2017-12-15 08:40:47.919811
000930,C010104,1999-07-12 00:00:00.000000,2017-12-15 08:40:47.919811
000937,C010103,1999-09-09 00:00:00.000000,2017-12-15 08:40:47.919811
000939,C010103,1999-09-23 00:00:00.000000,2017-12-15 08:40:47.919811
000968,C010103,2000-06-22 00:00:00.000000,2017-12-15 08:40:47.919811
000983,C010103,2000-07-26 00:00:00.000000,2017-12-15 08:40:47.919811
002128,C010103,2007-04-18 00:00:00.000000,2017-12-15 08:40:47.919811
002207,C010101,2008-01-28 00:00:00.000000,2017-12-15 08:40:47.919811
002221,C010102,2008-03-06 00:00:00.000000,2017-12-15 08:40:47.919811
002267,C010102,2008-08-13 00:00:00.000000,2017-12-15 08:40:47.919811
002278,C010101,2009-08-11 00:00:00.000000,2017-12-15 08:40:47.919811
002353,C010101,2010-02-05 00:00:00.000000,2017-12-15 08:40:47.919811
002490,C010101,2010-10-21 00:00:00.000000,2017-12-15 08:40:47.919811
002492,C010102,2010-11-02 00:00:00.000000,2017-12-15 08:40:47.919811
002554,C010101,2011-02-25 00:00:00.000000,2017-12-15 08:40:47.919811
002629,C010101,2011-11-03 00:00:00.000000,2017-12-15 08:40:47.919811
300023,C010101,2009-10-30 00:00:00.000000,2017-12-15 08:40:47.919811
300084,C010101,2010-05-20 00:00:00.000000,2017-12-15 08:40:47.919811
300157,C010101,2011-01-07 00:00:00.000000,2017-12-15 08:40:47.919811
300164,C010101,2011-01-13 00:00:00.000000,2017-12-15 08:40:47.919811
300191,C010101,2011-03-16 00:00:00.000000,2017-12-15 08:40:47.919811
600028,C010102,2001-08-08 00:00:00.000000,2017-12-15 08:40:47.919811
600087,C010102,1997-06-12 00:00:00.000000,2017-12-15 08:40:47.919811
600121,C010103,1998-01-07 00:00:00.000000,2017-12-15 08:40:47.919811
600123,C010103,1998-12-17 00:00:00.000000,2017-12-15 08:40:47.919811
600157,C010102,1998-05-13 00:00:00.000000,2017-12-15 08:40:47.919811
600179,C010103,1998-11-04 00:00:00.000000,2017-12-15 08:40:47.919811
600188,C010103,1998-07-01 00:00:00.000000,2017-12-15 08:40:47.919811
600333,C010103,2000-12-11 00:00:00.000000,2017-12-15 08:40:47.919811
600348,C010103,2003-08-21 00:00:00.000000,2017-12-15 08:40:47.919811
600381,C010103,2001-05-08 00:00:00.000000,2017-12-15 08:40:47.919811
600387,C010102,2004-02-18 00:00:00.000000,2017-12-15 08:40:47.919811
600395,C010103,2001-05-31 00:00:00.000000,2017-12-15 08:40:47.919811
600397,C010103,2002-07-02 00:00:00.000000,2017-12-15 08:40:47.919811
600403,C010103,2003-10-09 00:00:00.000000,2017-12-15 08:40:47.919811
600508,C010103,2001-08-29 00:00:00.000000,2017-12-15 08:40:47.919811
600546,C010103,2003-07-31 00:00:00.000000,2017-12-15 08:40:47.919811
600583,C010101,2002-02-05 00:00:00.000000,2017-12-15 08:40:47.919811
