日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2018-04-04,'000333,美的集团,53.01,54.1,52.06,52.82,52.52,0.49,0.9329999999999999,0.574,37152821,1980456944.62,349019036648.0,343134131498.0,54820
2018-04-03,'000333,美的集团,52.52,53.63,52.18,52.69,52.84,-0.32,-0.6056,0.4818,31189520,1645036115.85,345792865586.0,339962357786.0,52281
2018-04-02,'000333,美的集团,52.84,55.0,52.68,53.3,54.53,-1.69,-3.0992,0.6444,41715150,2227714703.77,347899752810.0,342033720210.0,67006
2018-03-30,'000333,美的集团,54.53,55.36,54.36,55.0,55.3,-0.77,-1.3924,0.4777,30881466,1696101255.8,358559135598.0,352505487648.0,45984
2018-03-29,'000333,美的集团,55.3,55.78,52.3,53.42,53.12,2.18,4.1039,0.597,38594720,2098813873.1,363622229939.0,357483100439.0,57242
2018-03-28,'000333,美的集团,53.12,54.0,52.01,53.49,54.61,-1.49,-2.7284,0.8423,54450412,2880441044.14,349287755052.0,343390638252.0,69231
2018-03-27,'000333,美的集团,54.61,56.38,54.11,56.17,55.27,-0.66,-1.1941,0.7287,47106361,2602536138.54,359085171374.0,353022642224.0,57108
2018-03-26,'000333,美的集团,55.27,55.98,54.1,55.5,56.24,-0.97,-1.7248,0.5772,37309849,2054321670.22,363424966523.0,357289167473.0,53395
2018-03-23,'000333,美的集团,56.24,56.45,53.73,54.7,56.9,-0.66,-1.1599,0.9925,64162714,3526483698.11,369803150303.0,363559666703.0,64694
2018-03-22,'000333,美的集团,56.9,58.9,56.36,58.88,58.28,-1.38,-2.3679,0.5095,32937831,1886620309.14,374142945452.0,367826191952.0,47537
2018-03-21,'000333,美的集团,58.28,59.96,58.28,59.63,59.34,-1.06,-1.7863,0.3051,19725169,1164919607.3,383217062583.0,376747108383.0,34845
2018-03-20,'000333,美的集团,59.34,59.63,58.3,59.11,59.57,-0.23,-0.3861,0.2748,17763764,1046101321.31,390187036611.0,383599406511.0,28278
2018-03-19,'000333,美的集团,59.57,60.28,59.0,59.69,59.69,-0.12,-0.201,0.3273,21159783,1260029782.03,391699389466.0,385086225916.0,35385
2018-03-16,'000333,美的集团,59.69,61.43,59.5,61.1,61.41,-1.72,-2.8008,0.3993,25810503,1555874365.55,392488443129.0,385861957779.0,43856
2018-03-15,'000333,美的集团,61.41,61.9,59.8,59.9,60.4,1.01,1.6722,0.413,26696301,1632419118.89,403798212306.0,396980781156.0,36105
2018-03-14,'000333,美的集团,60.4,61.63,59.95,60.7,61.06,-0.66,-1.0809,0.4209,27207216,1652444132.3,397157010638.0,390451704638.0,36621
2018-03-13,'000333,美的集团,61.06,62.19,60.26,60.7,60.73,0.33,0.5434,0.5845,37782389,2320438068.45,401496805788.0,394718229888.0,46804
2018-03-12,'000333,美的集团,60.73,62.54,60.35,60.98,59.91,0.82,1.3687,0.7136,46132537,2831384970.35,399326908213.0,392584967263.0,60033
2018-03-09,'000333,美的集团,59.91,60.39,58.73,59.47,59.17,0.74,1.2506,0.6106,39472938,2356572671.75,393935041512.0,387284132862.0,49760
2018-03-08,'000333,美的集团,59.17,59.2,56.4,56.87,56.26,2.91,5.1724,0.5886,38051889,2206248601.07,389069210587.0,382500453037.0,57532
2018-03-07,'000333,美的集团,56.26,57.16,55.83,56.26,56.2,0.06,0.1068,0.3232,20892502,1183915592.24,369934659247.0,363688955347.0,34169
2018-03-06,'000333,美的集团,56.2,56.69,54.9,56.53,56.02,0.18,0.3213,0.3017,19503043,1084322728.14,369540132415.0,363301089415.0,36893
2018-03-05,'000333,美的集团,56.02,56.55,55.52,56.11,56.22,-0.2,-0.3557,0.3158,20417101,1142843072.41,368356551920.0,362137491620.0,33626
2018-03-02,'000333,美的集团,56.22,57.68,54.77,54.86,55.6,0.62,1.1151,0.5645,36490364,2064011403.45,369671641359.0,363430378059.0,56652
2018-03-01,'000333,美的集团,55.6,56.49,54.82,54.99,54.95,0.65,1.1829,0.368,23790009,1325327535.82,365594864098.0,359422430098.0,39249
2018-02-28,'000333,美的集团,54.95,55.8,53.7,54.35,54.6,0.35,0.6409999999999999,0.493,31872104,1752933198.27,361320823420.0,355220549170.0,48754
2018-02-27,'000333,美的集团,54.6,57.79,54.58,57.79,57.7,-3.1,-5.3726,0.7408,47885316,2667769406.57,359019416902.0,352957997902.0,72949
2018-02-26,'000333,美的集团,57.7,58.29,57.0,57.58,57.55,0.15,0.2606,0.381,24626625,1424718751.66,379403303209.0,372997737709.0,36818
2018-02-23,'000333,美的集团,57.55,58.48,56.9,58.45,58.14,-0.59,-1.0148,0.2792,18050179,1039074373.06,378416986130.0,372028072880.0,33127
2018-02-22,'000333,美的集团,58.14,58.52,57.2,58.3,56.92,1.22,2.1434,0.3891,25152719,1461224847.93,382296499975.0,375842087875.0,37555
2018-02-14,'000333,美的集团,56.92,57.1,54.72,55.61,55.31,1.61,2.9109,0.3397,21957439,1235236270.26,374274454396.0,367955480596.0,34593
2018-02-13,'000333,美的集团,55.31,56.5,54.68,55.04,54.42,0.89,1.6354,0.4005,25892044,1439646656.16,363687984411.0,357547744761.0,38215
2018-02-12,'000333,美的集团,54.42,54.88,51.97,51.98,51.98,2.44,4.6941,0.5794,37456167,2020911734.38,357835836406.0,351794400106.0,46738
2018-02-09,'000333,美的集团,51.98,52.45,50.15,51.95,53.77,-1.79,-3.3289999999999997,0.9338,60364840,3107079216.34,341791745248.0,336021185548.0,58834
2018-02-08,'000333,美的集团,53.77,54.44,52.51,52.6,52.79,0.98,1.8564,0.6803,43978228,2353183880.62,353561795729.0,347592519179.0,53742
2018-02-07,'000333,美的集团,52.79,56.58,52.71,56.4,55.5,-2.71,-4.8829,0.8253,53353862,2912160602.53,347117857477.0,341257375627.0,68569
2018-02-06,'000333,美的集团,55.5,55.81,53.82,55.7,57.32,-1.82,-3.1752,1.3618,88034248,4837552400.21,364638451878.0,358775986878.0,87113
2018-02-05,'000333,美的集团,57.32,59.54,56.5,58.91,59.9,-2.58,-4.3072,0.8609,55463901,3207265994.84,375361535999.0,369306824399.0,69228
2018-02-02,'000333,美的集团,59.9,60.09,58.4,58.95,59.34,0.56,0.9437,0.3491,22489736,1339453852.36,392256734235.0,385929497235.0,30893
