基金简称,持仓市值(万元),持仓股数(万股),与上期持仓股数变化(万股),占基金净值比例,占流通股比例
永赢量化混合发起式,30,0.54,新进,0.78%,0.00%
工银新机遇灵活配置混合C,420,7.57,新进,3.21%,0.00%
工银新价值灵活配置混合,507,9.14,新进,3.53%,0.00%
前海开源股息率100强股票,743,13.4,新进,1.11%,0.00%
交银周期回报灵活配置混合C,610,11.0,新进,0.99%,0.00%
国富弹性市值混合,2217,40.0,新进,0.68%,0.01%
国联安主题驱动混合,266,4.8,新进,2.08%,0.00%
华安安顺灵活配置混合,388,7.0,新进,0.48%,0.00%
工银绝对收益混合发起A,77,1.4,新进,0.34%,0.00%
国富沪深300指数增强,261,4.71,新进,1.04%,0.00%
海富通欣享混合A,277,5.0,新进,1.35%,0.00%
华宝标普中国A股红利机会指数(LOF)A,719,12.98,新进,0.78%,0.00%
海富通富祥混合,23,0.41,新进,0.22%,0.00%
华安幸福生活混合,2519,45.45,新进,0.66%,0.01%
国泰事件驱动混合,385,6.95,新进,2.37%,0.00%
华宝新价值混合,127,2.3,新进,0.33%,0.00%
国泰策略价值灵活配置混合,73,1.32,新进,0.42%,0.00%
工银美丽城镇股票,1120,20.2,新进,1.85%,0.00%
光大保德信国企改革股票,5543,100.0,新进,3.23%,0.02%
工银文体产业股票,623,11.24,新进,2.07%,0.00%
华宝新优享混合,264,4.77,新进,1.93%,0.00%
工银绝对收益混合发起B,77,1.4,新进,0.34%,0.00%
广发对冲套利定期开放混合,38,0.69,新进,0.21%,0.00%
景顺长城公司治理混合,825,14.89,新进,4.20%,0.00%
工银保本3号混合A,942,17.0,新进,0.27%,0.00%
汇安丰华混合A,206,3.71,新进,0.95%,0.00%
汇安丰华混合C,206,3.71,新进,0.95%,0.00%
华宝量化对冲混合A,537,9.68,新进,0.78%,0.00%
广发鑫益混合,1624,29.29,新进,0.36%,0.00%
华宝沪深300增强,485,8.75,新进,1.54%,0.00%
华安沪深300增强A,1178,21.24,新进,0.81%,0.00%
国泰量化收益灵活配置混合,95,1.71,新进,0.54%,0.00%
光大保德信产业新动力混合,6,0.1,新进,0.03%,0.00%
