报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30
营业总收入(万元),24191890.0,18776444.0,12496362.0,5998862.0,15984170.0,11707795.0,7800752.0,3859950.0,13934712.0,11203385.0,8287507.0,4257443.0,14231097.0,10958894.0,7770822.0,3853326.0,12126518.0,9377882.0,6600663.0,3159915.0,10265111.0,8189915.0,5793273.0,2631047.0,13411615.0,11040055.0,8312562.0,3983141,10384795.0,8122404,5375957,2178764,6853385,5081478,3399508,1311742,6399209.0,5138782,3890016,1584596,4792057,2876191
营业收入(万元),24071230.0,18694887.0,12445007.0,5975591.0,15904404.0,11637842.0,7752229.0,3834162.0,13844123.0,11137442.0,8250914.0,4242671.0,14166818.0,10908416.0,7733085.0,3835111.0,12097500.0,9374673.0,6593948.0,3156592.0,10259811.0,8173525.0,5782358.0,2628020.0,13404565.0,11040055.0,8312562.0,3983141,10384795.0,8122404,5375957,2178764,6853385,5081478,3399508,1311742,6399209.0,5138782,3890016,1584596,4792057,2876191
利息收入(万元),120658.0,81557.0,51355.0,23270.0,78941.0,69176.0,47958.0,25507.0,90016.0,65624.0,36383.0,14668.0,63252.0,50321.0,37686.0,18215.0,29016.0,17385.0,6784.0,3360.0,5443.0,20750.0,10570.0,3058.0,7165.0,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
已赚保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
手续费及佣金收入(万元),1.0,0.0,0.0,0.0,825.0,777.0,565.0,281.0,574.0,320.0,209.0,104.0,1027.0,157.0,51.0,,2.0,,-68.0,-37.0,-143.0,534.0,345.0,-31.0,-115.0,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
房地产销售收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
其他业务收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
营业总成本(万元),22473459.0,17234472.0,11396362.0,5528114.0,14380906.0,10249801.0,6681841.0,3388484.0,12652313.0,10058280.0,7363241.0,3887882.0,12971880.0,9843737.0,6901828.0,3461605.0,11348577.0,8708323.0,6126045.0,2959257.0,9619852.0,7640503.0,5404470.0,2471250.0,12749921.0,10580066.0,7973413.0,3890947,9886065.0,7826670,5131148,2135253,6456688,4802117,3190132,1263701,6167372.0,4900281,3701998,1527407,4596644,2738210
营业成本(万元),18046055.0,13955949.0,9305108.0,4478286.0,11561544.0,8382803.0,5486616.0,2690619.0,10266282.0,8211245.0,5987891.0,3104158.0,10566969.0,8148148.0,5734328.0,2868994.0,9281806.0,7191965.0,5081856.0,2425543.0,7944904.0,6380220.0,4541028.0,2078751.0,10841876.0,9022967.0,6874261.0,3304439,8515852.0,6734925,4382951,1798322,5305735,3953745,2616776,1040321,5191074.0,4167528,3166402,1283758,3855284,2370882
利息支出(万元),25093.0,21590.0,16567.0,9333.0,43961.0,38400.0,26132.0,13217.0,56151.0,44816.0,31707.0,9885.0,40453.0,24303.0,19155.0,6856.0,20383.0,14086.0,,,6048.0,4790.0,,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
手续费及佣金支出(万元),272.0,214.0,166.0,76.0,284.0,201.0,139.0,67.0,225.0,156.0,89.0,39.0,167.0,120.0,73.0,34.0,122.0,90.0,,,143.0,104.0,,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
房地产销售成本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
研发费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
退保金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
赔付支出净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0
