报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2006-12-31,2005-12-31,2004-12-31
应收账款周转率(次),15.54,12.13,7.58,3.8,13.35,10.08,6.55,3.42,14.03,11.06,7.18,3.71,16.39,11.86,7.49,3.27,13.6,9.13,5.89,2.6,10.38,6.75,4.46,2.41,15.94,11.9,7.79,4.32,15.01,9.83,5.89,2.58,12.49,10.07,6.0,2.69,20.22,15.49,10.02,4.79,22.53,9.79,18.04,16.49,12.32
应收账款周转天数(天),23.17,22.25,23.75,23.71,26.97,26.79,27.47,26.3,25.66,24.4,25.07,24.24,21.97,22.77,24.05,27.49,26.47,29.56,30.58,34.58,34.68,40.02,40.4,37.41,22.58,22.69,23.1,20.84,23.99,27.46,30.54,34.82,28.82,26.81,29.98,33.41,17.8,17.43,17.96,18.8,15.98,18.39,19.96,21.84,29.22
存货周转率(次),8.01,7.09,5.1,2.38,8.87,8.03,5.48,2.64,8.06,6.96,4.75,2.38,6.99,6.23,4.54,2.11,6.5,6.22,4.59,1.9,5.35,4.72,3.27,1.31,6.01,4.49,3.6,1.74,5.62,6.06,4.31,1.59,5.97,5.54,4.09,1.38,6.21,4.49,3.4,1.45,4.92,4.35,5.19,5.57,4.37
固定资产周转率(次),11.02,,5.7,,7.99,,3.9,,7.23,,4.3,,7.24,,3.92,,6.07,,,,5.43,,,,9.13,,,6.72,10.15,18.89,12.5,,8.49,13.48,9.02,3.48,9.97,19.39,14.68,5.98,9.57,6.05,7.99,8.78,1.61
总资产周转率(次),1.15,0.91,0.62,0.3,1.06,0.8,0.52,0.28,1.11,0.87,0.63,0.33,1.3,1.03,0.72,0.36,1.31,1.01,0.72,0.34,1.15,0.87,0.61,0.28,1.66,1.26,0.98,0.47,1.69,1.29,0.89,0.38,1.56,1.23,0.87,0.35,2.02,1.59,1.17,0.53,2.05,1.39,1.98,2.06,1.61
存货周转天数(天),44.96,38.09,35.31,37.79,40.6,33.63,32.82,34.08,44.66,38.78,37.92,37.76,51.47,43.36,39.64,42.75,55.36,43.38,39.21,47.29,67.27,57.25,54.97,68.89,59.92,60.13,49.95,51.79,64.02,44.58,41.76,56.67,60.33,48.71,43.96,65.2,57.96,60.13,52.95,62.25,73.14,41.33,69.34,64.59,82.29
总资产周转天数(天),313.1,298.08,290.46,298.61,338.89,338.52,344.04,324.79,323.92,308.64,285.85,271.66,276.01,263.31,250.28,247.25,274.79,266.88,248.83,266.59,312.42,310.34,293.06,317.01,216.61,213.96,183.8,189.99,213.24,208.61,202.02,237.4,231.04,219.57,207.04,255.68,178.11,169.94,154.1,170.16,175.88,129.51,181.72,175.16,223.03
流动资产周转率(次),1.66,1.32,0.91,0.45,1.49,1.12,0.74,0.38,1.54,1.2,0.85,0.45,1.87,1.47,1.03,0.52,2.0,1.55,1.12,0.51,1.77,1.3,0.92,0.43,2.45,1.72,1.34,0.65,2.46,1.84,1.26,0.54,2.42,1.93,1.41,0.58,3.22,2.4,1.74,0.78,3.11,2.12,3.12,3.18,240.17
流动资产周转天数(天),217.18,205.06,197.26,200.8,242.18,240.19,244.03,238.92,233.77,225.23,211.67,199.87,192.81,183.77,175.42,172.15,179.87,174.24,160.7,175.17,202.83,207.12,196.42,211.17,146.7,156.85,134.49,138.87,146.51,146.61,143.32,166.17,149.0,139.66,128.0,155.23,111.72,112.4,103.23,115.07,115.6,84.94,115.47,113.34,1.5
经营现金净流量对销售收入比率(%),0.1,0.11,0.11,0.12,0.17,0.16,0.1,0.17,0.19,0.16,0.11,0.06,0.18,0.13,0.17,0.08,0.08,0.06,0.05,0.02,0.08,0.04,0.0,-0.14,0.03,-0.01,0.0,-0.02,0.05,0.12,0.11,0.04,0.05,0.09,0.08,0.07,0.07,0.07,0.05,-0.03,0.04,0.06,0.07,0.08,0.07
资产的经营现金流量回报率(%),0.1,0.08,0.06,0.03,0.16,0.12,0.05,0.04,0.21,0.13,0.06,0.02,0.21,0.12,0.11,0.03,0.1,0.06,0.04,0.01,0.09,0.03,0.0,-0.04,0.05,-0.01,0.0,-0.01,0.07,0.13,0.09,0.01,0.07,0.09,0.07,0.03,0.12,0.09,0.05,-0.01,0.08,0.07,0.12,0.15,0.12
经营现金净流量与净利润的比率(%),1.31,1.25,1.2,1.5,1.68,1.38,0.79,1.58,1.96,1.52,0.99,0.68,2.13,1.41,1.82,1.13,1.21,0.8,0.75,0.34,1.32,0.62,0.03,-2.68,0.62,-0.13,0.11,-0.7,0.74,2.05,1.91,0.85,1.06,1.83,1.47,1.69,1.66,1.6,1.17,-0.91,0.82,1.07,1.51,2.98,2.73
经营现金净流量对负债比率(%),0.15,0.12,0.09,0.05,0.26,0.2,0.08,0.08,0.37,0.22,0.1,0.03,0.33,0.19,0.17,0.04,0.17,0.09,0.06,0.01,0.15,0.05,0.0,-0.06,0.07,-0.01,0.01,-0.01,0.1,0.18,0.12,0.02,0.1,0.14,0.1,0.04,0.18,0.13,0.07,-0.02,0.11,0.11,0.18,0.22,0.17
现金流量比率(%),20.52,17.46,10.09,5.25,29.93,22.35,8.74,7.65,37.17,22.54,9.95,2.94,33.89,19.69,17.76,4.61,17.75,9.29,6.3,1.08,15.92,5.22,0.17,-6.48,7.86,-0.88,0.57,-1.34,11.18,20.15,13.73,1.92,10.78,15.54,10.09,3.73,18.51,13.38,7.04,-2.01,11.67,10.95,17.91,21.91,17.56
