报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30
货币资金(万元),4827420.0,4165744.0,3421902.0,3529210.0,1793125.0,1944482.0,1669921.0,1498094.0,1291002.0,1049206.0,1644624.0,1063875.0,748288.0,980787.0,1757024.0,2757915.0,1649732.0,1787596.0,1792127.0,1753297.0,1343551.0,1771362.0,1687528.0,1044661.0,1287677.0,1647936.0,1399987.0,1499676,940537.0,1349436,1207887,741060.0,637141,736773.0,500217.0,464760,464515.0,486239,541386,421929,322396,225639
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
拆出资金(万元),,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
交易性金融资产(万元),,,,,,,,,,,,,,22609.0,8705.0,9334.0,75957.0,60918.0,54048.0,35559.0,23155.0,3981.0,6460.0,16740.0,19543.0,23925.0,16260.0,22612,17222.0,53661,45330,50930.0,38840,13552.0,15714.0,27636,29102.0,0,12475,682,15742,10735
衍生金融资产(万元),35333.0,39227.0,33101.0,28093.0,41281.0,731.0,737.0,853.0,15882.0,23314.0,1434.0,30805.0,16251.0,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应收票据(万元),1085423.0,1551845.0,1088439.0,874785.0,742749.0,1094812.0,1498722.0,1689971.0,1288915.0,2581787.0,2622938.0,2755180.0,1709723.0,1834312.0,1804167.0,1794929.0,1415053.0,1526886.0,1338631.0,1497595.0,1238642.0,1485381.0,1392639.0,1663404.0,1026595.0,2053863.0,1857487.0,1888805,555399.0,937210,1101670,865633.0,762139,760831.0,663433.0,302702,308665.0,337254,341781,183638,152378,217510
应收账款(万元),1752872.0,1736046.0,1938087.0,1802661.0,1345451.0,1272602.0,1329312.0,1203373.0,1037172.0,1077124.0,1361708.0,1348787.0,936210.0,1047185.0,1273309.0,1550066.0,792844.0,1066572.0,1254084.0,1439016.0,986457.0,1432543.0,1605100.0,1194681.0,990316.0,1164551.0,1442039.0,1153614,691110.0,959357,1131302,993058.0,692758,604355.0,727655.0,569290,404667.0,435355,548066,433903,228236,390625
预付款项(万元),167225.0,210505.0,206580.0,203745.0,158737.0,210691.0,161033.0,146392.0,98863.0,172386.0,181380.0,209398.0,141447.0,187197.0,189487.0,195780.0,243242.0,237576.0,196287.0,252110.0,180248.0,272358.0,241558.0,325713.0,306795.0,709176.0,615165.0,685874,470572.0,522823,352544,378799.0,186963,215545.0,147217.0,166484,126842.0,228160,198621,303502,108420,108641
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应收利息(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应收股利(万元),,,435.0,,,,499.0,1776.0,,1238.0,5351.0,6160.0,4594.0,5102.0,5407.0,5422.0,2586.0,2575.0,2560.0,2618.0,,,,,,9666.0,9649.0,8390,8475.0,14123,9956,,0,0.0,180.0,180,180.0,0,0,3437,3437,0
其他应收款(万元),265757.0,209982.0,217008.0,139270.0,114013.0,80479.0,97174.0,90583.0,110134.0,204009.0,122792.0,86664.0,118077.0,81816.0,121472.0,86969.0,102540.0,173275.0,107686.0,120574.0,112135.0,144116.0,118888.0,201880.0,250910.0,212761.0,277109.0,243187,218425.0,254893,176642,231423.0,134856,63769.0,60939.0,52069,55833.0,38765,57962,35368,34603,26691
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
存货(万元),2944417.0,2375288.0,2088504.0,2197730.0,1562690.0,1043435.0,955923.0,993100.0,1044894.0,856532.0,1020985.0,1102945.0,1502003.0,1097097.0,1005602.0,1205439.0,1519772.0,976126.0,878752.0,1213974.0,1335000.0,1071180.0,1139032.0,1547895.0,1634330.0,2043860.0,1840292.0,1828276,1974998.0,1170366,980208,1210952.0,1053682,701863.0,553540.0,782647,724576.0,909518,915973,828915,946856,469119
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,0.0,0.0,0,0.0,0,0,0,0,0
