报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2006-12-31,2005-12-31,2004-12-31
基本每股收益(元),2.66,2.31,1.67,0.67,2.29,2.0,1.48,0.92,2.99,2.6,1.97,0.79,2.49,2.12,1.57,1.51,4.33,3.73,2.65,,3.26,,,,,,,,,,,,,,,,,,,,,,,,
每股净资产(元),,,,,,,,,,,,,,,,,,,16.91,,14.31,,,,,,,,,,,,,,,,,,,,,,,,
每股经营活动产生的现金流量净额(元),,,,,,,,,,,,,,,,,,,3.57,,8.09,,,,,,,,,,,,,,,,,,,,,,,,
主营业务收入(万元),24071230.0,18694887.0,12445007.0,5975591.0,15904404.0,11637842.0,7752229.0,3834162.0,13844123.0,11137442.0,8250914.0,4242671.0,14166818.0,10908416.0,7733085.0,3835111.0,12097500.0,9374673.0,6593948.0,3156592.0,10259811.0,8173525.0,5782358.0,2628020.0,13404565.0,11040055.0,8312562.0,3983141.0,10384795.0,8122404.0,5375957.0,2178764.0,6853385.0,5081478.0,3399508.0,1311742.0,6399209.0,5138782.0,3890016.0,1584596.0,4792057.0,2876191.0,3519046.0,2954458.0,2037813.0
主营业务利润(万元),5979098.0,4691301.0,3099210.0,1475066.0,4270129.0,3219535.0,2240662.0,1128182.0,3520573.0,2873279.0,2210836.0,1110309.0,3541689.0,2724175.0,1972605.0,955949.0,2763334.0,2137235.0,1484388.0,721262.0,2256510.0,1766812.0,1225374.0,541351.0,2493745.0,1956165.0,1403738.0,660734.0,1828329.0,1364026.0,973103.0,371111.0,1527409.0,1119307.0,777654.0,269169.0,1194377.0,966234.0,720510.0,299562.0,929858.0,502720.0,630449.0,512043.0,354757.0
营业利润(万元),2162785.0,1824307.0,1303615.0,526545.0,1743598.0,1527533.0,1137810.0,472923.0,1491687.0,1309064.0,1020640.0,437698.0,1345050.0,1139231.0,832803.0,341406.0,932365.0,772793.0,551498.0,226642.0,700486.0,571296.0,403450.0,167838.0,746366.0,510760.0,366545.0,111241.0,550917.0,358852.0,303348.0,46425.0,357657.0,281600.0,213210.0,58366.0,281762.0,235322.0,183829.0,57263.0,272609.0,165099.0,160503.0,93833.0,71839.0
投资收益(万元),183022.0,179201.0,119945.0,72649.0,128596.0,118347.0,71408.0,25371.0,201127.0,159382.0,118120.0,52779.0,151112.0,83939.0,42645.0,27293.0,99798.0,63527.0,43748.0,14796.0,53452.0,37889.0,26920.0,10573.0,79172.0,43999.0,28425.0,13177.0,40264.0,58782.0,62083.0,6799.0,-25809.0,25582.0,21501.0,10243.0,18023.0,2682.0,1503.0,1785.0,71200.0,26745.0,9182.0,-298.0,-1417.0
营业外收支净额(万元),22692.0,59627.0,57097.0,32438.0,147863.0,106486.0,79947.0,27117.0,113448.0,103986.0,55018.0,5065.0,54018.0,48277.0,42031.0,4099.0,68812.0,44383.0,20691.0,8184.0,70465.0,51389.0,21399.0,5683.0,75528.0,56747.0,39667.0,32675.0,233306.0,196587.0,66661.0,64002.0,31763.0,-337.0,2147.0,3583.0,12431.0,5305.0,2300.0,-602.0,14068.0,1062.0,-381.0,-443.0,1192.0
利润总额(万元),2185477.0,1883934.0,1360712.0,558983.0,1891460.0,1634019.0,1217757.0,500040.0,1605135.0,1413050.0,1075657.0,442763.0,1399068.0,1187508.0,874834.0,345505.0,1001177.0,817177.0,572189.0,234826.0,770951.0,622685.0,424849.0,173521.0,821894.0,567507.0,406213.0,143916.0,784223.0,555439.0,370008.0,110427.0,389421.0,281262.0,215357.0,61949.0,294193.0,240627.0,186129.0,56661.0,286677.0,166161.0,171910.0,93804.0,72642.0
净利润(万元),1728369.0,1499818.0,1081132.0,435259.0,1468436.0,1280799.0,949649.0,390725.0,1270673.0,1101210.0,832412.0,334213.0,1050222.0,895296.0,661013.0,253885.0,531746.0,401803.0,264683.0,102154.0,325929.0,255782.0,174122.0,62023.0,344910.0,200649.0,154898.0,52006.0,370597.0,241914.0,170901.0,39043.0,161145.0,113225.0,94144.0,39516.0,149698.0,93797.0,78658.0,21099.0,143869.0,71559.0,64178.0,18244.0,8523.0
