报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2006-12-31,2005-12-31,2004-12-31
总资产利润率(%),7.5,6.65,5.0,2.07,9.3,8.44,6.11,2.82,10.57,8.8,6.31,2.69,9.68,8.5,6.11,2.51,8.56,6.92,5.01,1.96,7.0,5.11,3.44,1.47,7.35,4.26,3.26,1.22,9.03,6.34,4.62,1.48,6.37,5.19,4.5,1.5,7.41,5.75,4.31,1.58,9.54,6.88,8.23,5.08,4.35
主营业务利润率(%),24.44,24.77,24.62,24.45,26.63,27.4,28.62,29.1,25.19,25.61,26.74,26.06,24.84,24.73,25.27,24.63,22.77,22.76,22.41,22.74,22.0,21.42,21.01,20.48,18.55,17.72,16.89,16.59,17.61,16.79,18.1,17.03,22.29,22.03,22.88,20.52,18.66,18.8,18.52,18.9,19.4,17.48,17.92,17.33,17.41
总资产净利润率(%),8.89,7.8,5.75,2.36,10.59,9.42,6.9,3.01,10.94,9.29,6.83,2.85,10.72,9.25,6.71,2.72,8.99,7.29,5.2,2.08,6.9,5.31,3.58,1.5,8.23,5.06,3.8,1.41,10.41,7.42,5.25,1.62,7.54,5.87,4.87,1.55,8.4,6.63,5.07,1.72,11.18,7.31,8.99,5.69,4.35
成本费用利润率(%),9.75,10.96,12.0,10.17,13.23,16.04,18.37,14.91,12.74,14.12,14.73,11.49,10.85,12.13,12.78,10.1,8.85,9.41,9.37,7.99,8.02,8.17,7.9,7.05,6.45,5.38,5.12,3.72,7.93,7.11,7.24,5.2,6.05,5.86,6.78,4.92,4.78,4.92,5.05,3.74,6.25,6.11,5.09,3.27,3.68
营业利润率(%),8.98,9.76,10.48,8.81,10.96,13.13,14.68,12.33,10.77,11.75,12.37,10.32,9.49,10.44,10.77,8.9,7.71,8.24,8.36,7.18,6.83,6.99,6.98,6.39,5.57,4.63,4.41,2.79,5.31,4.42,5.64,2.13,5.22,5.54,6.27,4.45,4.4,4.58,4.73,3.61,5.69,5.74,4.9,3.19,3.51
主营业务成本率(%),74.97,74.65,74.77,74.94,72.69,72.03,70.77,70.17,74.16,73.73,72.57,73.17,74.59,74.7,74.15,74.81,76.73,76.72,77.07,76.84,77.44,78.06,78.53,79.1,80.88,81.73,82.7,82.96,82.0,82.92,81.53,82.54,77.42,77.81,76.98,79.31,81.12,81.1,81.4,81.01,80.45,82.43,81.99,82.6,82.46
销售净利率(%),7.73,8.61,9.28,7.84,9.97,11.82,13.2,10.87,9.84,10.62,10.85,8.6,8.22,9.02,9.33,7.46,6.86,7.21,7.19,6.16,5.99,6.1,5.83,5.29,4.95,4.01,3.88,2.97,6.17,5.73,5.9,4.27,4.84,4.78,5.6,4.41,4.15,4.17,4.34,3.25,5.46,5.26,4.54,2.77,2.7
净资产收益率(%),23.44,21.06,16.3,6.64,24.02,21.94,17.16,7.25,25.83,23.1,18.04,7.78,26.61,23.51,18.5,7.23,16.19,12.58,15.65,6.69,22.77,18.55,13.48,5.23,27.61,15.63,12.4,4.07,33.59,23.47,18.4,4.83,20.79,15.5,15.41,7.09,28.92,19.27,16.74,4.96,35.55,26.27,32.79,15.99,9.62
股本报酬率(%),550.86,245.89,429.86,72.47,479.93,213.19,376.02,97.64,620.9,277.29,498.32,86.6,555.75,233.39,431.61,169.64,1088.42,400.56,474.18,194.51,1469.86,498.68,336.83,138.93,1359.28,442.85,322.59,118.24,1134.5,465.56,316.99,92.98,724.82,242.71,190.46,57.84,648.44,214.34,168.87,51.43,549.66,752.46,742.93,457.02,312.24
净资产报酬率(%),43.58,20.06,37.37,6.3,44.94,20.85,38.56,6.83,47.28,21.88,40.76,7.39,51.23,22.27,43.16,6.86,46.97,17.78,13.13,5.56,44.32,15.51,11.06,4.66,45.09,15.17,11.5,4.21,50.31,21.88,16.28,5.29,43.71,15.24,14.86,4.98,58.16,18.87,15.46,5.86,64.14,52.78,63.38,46.57,38.7
资产报酬率(%),14.57,6.65,12.13,2.07,18.17,8.44,14.42,2.82,20.56,8.8,15.08,2.69,19.48,8.5,15.41,2.51,18.93,6.92,5.01,1.96,16.75,5.11,3.44,1.47,15.05,4.26,3.26,1.22,15.99,6.34,4.62,1.48,13.92,5.19,4.5,1.5,18.06,5.75,4.31,1.58,20.05,17.11,19.15,14.17,12.37
销售毛利率(%),25.03,25.35,25.23,25.06,27.31,27.97,29.23,29.83,25.84,26.27,27.43,26.83,25.41,25.3,25.85,25.19,23.28,23.28,22.93,23.16,22.56,21.94,21.47,20.9,19.12,18.27,17.3,17.04,18.16,17.08,18.47,17.46,22.58,22.19,23.02,20.69,18.88,18.9,18.6,18.99,19.55,17.57,18.01,17.4,17.54
