报告日期,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31
基本每股收益(元),2.66,2.31,1.67,0.67,2.29,2.0,1.48,0.92,2.99,2.6,1.97,0.79,2.49,2.12,1.57,1.51,4.33,3.73,2.65,,3.26,,,,,,,,,,,,,,,,,,,
每股净资产(元),,,,,,,,,,,,,,,,,,,16.91,,14.31,,,,,,,,,,,,,,,,,,,
每股经营活动产生的现金流量净额(元),,,,,,,,,,,,,,,,,,,3.57,,8.09,,,,,,,,,,,,,,,,,,,
主营业务收入(万元),5376344.0,6249880.0,6469415.0,5975591.0,4266562.0,3885613.0,3918066.0,3834162.0,2706681.0,2886527.0,4008243.0,4242671.0,3258402.0,3175331.0,3897974.0,3835111.0,2722827.0,2780725.0,3437356.0,3156592.0,2086286.0,2391167.0,3154338.0,2628020.0,2364510.0,2727493.0,4329421.0,3983141.0,2262391.0,2746447.0,3197193.0,2178764.0,1771907.0,1681970.0,2087766.0,1311742.0,1260427.0,1248766.0,2305420.0,1584596.0
主营业务利润(万元),1287797.0,1592092.0,1624144.0,1475066.0,1050594.0,978873.0,1112480.0,1128182.0,647293.0,662443.0,1100528.0,1110309.0,817514.0,751571.0,1016656.0,955949.0,626099.0,652847.0,763125.0,721262.0,489699.0,541438.0,684023.0,541351.0,537580.0,552427.0,743004.0,660734.0,464302.0,390923.0,601992.0,371111.0,408102.0,341653.0,508486.0,269169.0,228143.0,245725.0,420947.0,299562.0
营业利润(万元),338478.0,520692.0,777070.0,526545.0,216065.0,389723.0,664887.0,472923.0,182623.0,288424.0,582942.0,437698.0,205819.0,306428.0,491397.0,341406.0,159572.0,221295.0,324856.0,226642.0,129190.0,167846.0,235612.0,167838.0,235606.0,144214.0,255304.0,111241.0,192065.0,55504.0,256923.0,46425.0,76057.0,68390.0,154844.0,58366.0,46440.0,51493.0,126566.0,57263.0
投资收益(万元),3821.0,59256.0,47297.0,72649.0,10249.0,46939.0,46037.0,25371.0,41745.0,41262.0,65341.0,52779.0,67173.0,41294.0,15352.0,27293.0,36271.0,19780.0,28952.0,14796.0,15562.0,10970.0,16346.0,10573.0,35173.0,15574.0,15248.0,13177.0,-18518.0,-3301.0,55285.0,6799.0,-51392.0,4082.0,11257.0,10243.0,15341.0,1179.0,-282.0,1785.0
营业外收支净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
利润总额(万元),301543.0,523222.0,801729.0,558983.0,257441.0,416262.0,717717.0,500040.0,192086.0,337392.0,632895.0,442763.0,211560.0,312674.0,529330.0,345505.0,184001.0,244987.0,337364.0,234826.0,148266.0,197836.0,251329.0,173521.0,254387.0,161294.0,262296.0,143916.0,228784.0,185430.0,259582.0,110427.0,108158.0,65906.0,153408.0,61949.0,53566.0,54499.0,129468.0,56661.0
净利润(万元),228551.0,418685.0,645874.0,435259.0,187636.0,331150.0,558924.0,390725.0,169462.0,268798.0,498199.0,334213.0,154926.0,234282.0,407128.0,253885.0,129942.0,137120.0,162530.0,102154.0,70147.0,81661.0,112099.0,62023.0,144261.0,45751.0,102892.0,52006.0,128682.0,71014.0,131857.0,39043.0,47920.0,19080.0,54628.0,39516.0,55900.0,15139.0,57559.0,21099.0
净利润(扣除非经常性损益后)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动产生的现金流量净额(万元),2444262.0,2006764.0,1389593.0,700857.0,2669501.0,1903750.0,812916.0,659502.0,2676425.0,1797048.0,881567.0,249872.0,2478851.0,1385370.0,1317146.0,322381.0,1005420.0,542660.0,356936.0,66728.0,808957.0,311069.0,10544.0,-372167.0,410619.0,-56731.0,36235.0,-82790.0,473169.0,952762.0,606207.0,78680.0,352411.0,443634.0,280127.0,97480.0,441960.0,342492.0,196836.0,-46746.0
