报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31
流动比率(%),1.43,1.35,1.3,1.18,1.15,1.09,1.15,1.16,1.08,0.9,0.99,0.92,0.91,0.99
速动比率(%),1.18,1.18,1.15,0.98,0.88,0.83,0.84,0.7,0.76,0.59,0.48,0.46,0.47,0.54
现金比率(%),40.54,20.11,17.93,10.23,29.12,26.44,24.64,22.23,19.5,19.46,17.49,12.88,14.54,14.2
利息支付倍数(%),2778.45,-1780.22,11653.39,5666.73,1874.44,1055.27,667.19,1108.42,956.9,484.06,779.07,764.74,508.82,979.09
资产负债率(%),66.58,59.57,56.51,61.98,59.69,62.2,66.63,68.22,68.15,68.94,68.75,69.79,69.57,68.05
长期债务与营运资金比率(%),0.65,0.07,0.0,0.0,0.08,0.5,0.43,0.33,0.98,-0.29,-3.66,-0.03,-0.02,-0.5
股东权益比率(%),33.42,40.43,43.49,38.02,40.31,37.8,33.37,31.78,31.85,31.06,31.25,30.21,30.43,31.95
长期负债比率(%),13.3,1.32,0.07,0.02,0.73,2.72,3.67,3.2,5.0,1.97,1.48,0.17,0.11,0.2
股东权益与固定资产比率(%),366.49,327.28,298.91,234.03,199.41,163.63,172.11,190.07,192.78,147.92,161.68,124.18,119.96,152.62
负债与所有者权益比率(%),199.19,147.33,129.95,163.04,148.07,164.54,199.7,214.71,214.01,221.96,219.98,231.04,228.62,212.95
长期资产与长期资金比率(%),67.55,70.17,63.21,74.02,79.46,90.49,90.55,87.67,87.24,122.28,101.43,117.82,121.97,102.0
资本化比率(%),28.46,3.16,0.16,0.04,1.79,6.72,9.9,9.15,13.57,5.95,4.51,0.57,0.35,0.62
固定资产净值率(%),56.34,58.2,59.3,62.38,66.09,70.31,71.59,70.61,68.62,66.33,64.8,69.03,73.61,72.32
资本固定化比率(%),94.42,72.46,63.31,74.05,80.91,97.01,100.51,96.51,100.94,130.02,106.22,118.5,122.39,102.63
产权比率(%),183.39,132.56,128.67,159.98,146.77,160.4,184.38,197.71,212.78,220.42,219.78,230.73,227.08,212.17
清算价值比率(%),153.17,179.06,174.01,159.73,163.22,158.02,156.78,153.92,141.95,138.49,139.53,137.14,136.96,142.59
固定资产比重(%),9.12,12.35,14.55,16.24,20.22,23.1,19.39,16.72,16.52,21.0,19.33,24.33,25.37,20.94
