报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31
总资产利润率(%),7.5,9.3,10.57,9.68,8.56,7.0,7.35,9.03,6.37,7.41,9.54,8.23,5.08,4.35
主营业务利润率(%),24.44,26.63,25.19,24.84,22.77,22.0,18.55,17.61,22.29,18.66,19.4,17.92,17.33,17.41
总资产净利润率(%),8.89,10.59,10.94,10.72,8.99,6.9,8.23,10.41,7.54,8.4,11.18,8.99,5.69,4.35
成本费用利润率(%),9.75,13.23,12.74,10.85,8.85,8.02,6.45,7.93,6.05,4.78,6.25,5.09,3.27,3.68
营业利润率(%),8.98,10.96,10.77,9.49,7.71,6.83,5.57,5.31,5.22,4.4,5.69,4.9,3.19,3.51
主营业务成本率(%),74.97,72.69,74.16,74.59,76.73,77.44,80.88,82.0,77.42,81.12,80.45,81.99,82.6,82.46
销售净利率(%),7.73,9.97,9.84,8.22,6.86,5.99,4.95,6.17,4.84,4.15,5.46,4.54,2.77,2.7
净资产收益率(%),23.44,24.02,25.83,26.61,16.19,22.77,27.61,33.59,20.79,28.92,35.55,32.79,15.99,9.62
股本报酬率(%),550.86,479.93,620.9,555.75,1088.42,1469.86,1359.28,1134.5,724.82,648.44,549.66,742.93,457.02,312.24
净资产报酬率(%),43.58,44.94,47.28,51.23,46.97,44.32,45.09,50.31,43.71,58.16,64.14,63.38,46.57,38.7
资产报酬率(%),14.57,18.17,20.56,19.48,18.93,16.75,15.05,15.99,13.92,18.06,20.05,19.15,14.17,12.37
销售毛利率(%),25.03,27.31,25.84,25.41,23.28,22.56,19.12,18.16,22.58,18.88,19.55,18.01,17.4,17.54
三项费用比重(%),17.59,16.53,16.17,15.87,16.31,15.71,13.64,12.86,16.2,14.81,15.16,13.86,14.44,14.25
非主营比重(%),9.41,14.62,19.6,14.66,16.84,16.07,18.82,34.88,1.53,10.35,29.74,6.64,-0.03,1.11
主营利润比重(%),269.21,223.91,217.22,251.52,275.15,292.77,302.54,233.14,392.23,405.98,324.36,366.73,545.86,488.36
