报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31
应收账款周转率(次),15.54,13.35,14.03,16.39,13.6,10.38,15.94,15.01,12.49,20.22,22.53,18.04,16.49,12.32
应收账款周转天数(天),23.17,26.97,25.66,21.97,26.47,34.68,22.58,23.99,28.82,17.8,15.98,19.96,21.84,29.22
存货周转率(次),8.01,8.87,8.06,6.99,6.5,5.35,6.01,5.62,5.97,6.21,4.92,5.19,5.57,4.37
固定资产周转率(次),11.02,7.99,7.23,7.24,6.07,5.43,9.13,10.15,8.49,9.97,9.57,7.99,8.78,1.61
总资产周转率(次),1.15,1.06,1.11,1.3,1.31,1.15,1.66,1.69,1.56,2.02,2.05,1.98,2.06,1.61
存货周转天数(天),44.96,40.6,44.66,51.47,55.36,67.27,59.92,64.02,60.33,57.96,73.14,69.34,64.59,82.29
总资产周转天数(天),313.1,338.89,323.92,276.01,274.79,312.42,216.61,213.24,231.04,178.11,175.88,181.72,175.16,223.03
流动资产周转率(次),1.66,1.49,1.54,1.87,2.0,1.77,2.45,2.46,2.42,3.22,3.11,3.12,3.18,240.17
流动资产周转天数(天),217.18,242.18,233.77,192.81,179.87,202.83,146.7,146.51,149.0,111.72,115.6,115.47,113.34,1.5
经营现金净流量对销售收入比率(%),0.1,0.17,0.19,0.18,0.08,0.08,0.03,0.05,0.05,0.07,0.04,0.07,0.08,0.07
资产的经营现金流量回报率(%),0.1,0.16,0.21,0.21,0.1,0.09,0.05,0.07,0.07,0.12,0.08,0.12,0.15,0.12
经营现金净流量与净利润的比率(%),1.31,1.68,1.96,2.13,1.21,1.32,0.62,0.74,1.06,1.66,0.82,1.51,2.98,2.73
经营现金净流量对负债比率(%),0.15,0.26,0.37,0.33,0.17,0.15,0.07,0.1,0.1,0.18,0.11,0.18,0.22,0.17
现金流量比率(%),20.52,29.93,37.17,33.89,17.75,15.92,7.86,11.18,10.78,18.51,11.67,17.91,21.91,17.56
