报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31
基本每股收益(元),2.66,2.29,2.99,2.49,4.33,3.26,,,,,,,,
每股净资产(元),,,,,,14.31,,,,,,,,
每股经营活动产生的现金流量净额(元),,,,,,8.09,,,,,,,,
主营业务收入(万元),24071230.0,15904404.0,13844123.0,14166818.0,12097500.0,10259811.0,13404565.0,10384795.0,6853385.0,6399209.0,4792057.0,3519046.0,2954458.0,2037813.0
主营业务利润(万元),5979098.0,4270129.0,3520573.0,3541689.0,2763334.0,2256510.0,2493745.0,1828329.0,1527409.0,1194377.0,929858.0,630449.0,512043.0,354757.0
营业利润(万元),2162785.0,1743598.0,1491687.0,1345050.0,932365.0,700486.0,746366.0,550917.0,357657.0,281762.0,272609.0,160503.0,93833.0,71839.0
投资收益(万元),183022.0,128596.0,201127.0,151112.0,99798.0,53452.0,79172.0,40264.0,-25809.0,18023.0,71200.0,9182.0,-298.0,-1417.0
营业外收支净额(万元),22692.0,147863.0,113448.0,54018.0,68812.0,70465.0,75528.0,233306.0,31763.0,12431.0,14068.0,-381.0,-443.0,1192.0
利润总额(万元),2185477.0,1891460.0,1605135.0,1399068.0,1001177.0,770951.0,821894.0,784223.0,389421.0,294193.0,286677.0,171910.0,93804.0,72642.0
净利润(万元),1728369.0,1468436.0,1270673.0,1050222.0,531746.0,325929.0,344910.0,370597.0,161145.0,149698.0,143869.0,64178.0,18244.0,8523.0
净利润(扣除非经常性损益后)(万元),1561410.0,1349287.0,1091134.0,947685.0,390338.0,302749.0,,,,,,,,
经营活动产生的现金流量净额(万元),2444262.0,2669501.0,2676425.0,2478851.0,1005420.0,808957.0,410619.0,473169.0,352411.0,441960.0,214974.0,241556.0,243781.0,149831.0
现金及现金等价物净增加额(万元),931792.0,732641.0,-8492.0,-1149164.0,421980.0,-81002.0,543519.0,294462.0,172626.0,142118.0,148654.0,11938.0,40650.0,-3988.0
总资产(万元),24810686.0,17060071.0,12884194.0,12029209.0,9694602.0,8773653.0,9034514.0,7096036.0,5206583.0,3589866.0,2742111.0,1940073.0,1612479.0,1262508.0
流动资产(万元),16981068.0,12062132.0,9336771.0,8642707.0,6532673.0,5556219.0,6004658.0,4920006.0,3532934.0,2140143.0,1831834.0,1245606.0,1011918.0,848477.0
总负债(万元),16518169.0,10162402.0,7281031.0,7456063.0,5786546.0,5457104.0,6019957.0,4841219.0,3548469.0,2474852.0,1885146.0,1354012.0,1121790.0,859090.0
流动负债(万元),11909186.0,8918400.0,7200385.0,7314285.0,5664738.0,5081016.0,5226920.0,4230926.0,3267730.0,2387176.0,1842902.0,1348864.0,1112577.0,853445.0
股东权益不含少数股东权益(万元),7373744.0,6112692.0,4920185.0,3947050.0,3284743.0,1431353.0,1249428.0,1103285.0,774945.0,517704.0,404673.0,195734.0,114079.0,88607.0
净资产收益率加权(%),25.88,26.88,29.06,29.49,24.87,23.92,,,,,,,,
